run,dataset,accuracy,num_correct,num_total
run_0,2WikimhQA,0.057494,89,1548
run_0,hotpotQA,0.275217,2311,8397
run_0,gsm8k,0.414634,510,1230
run_0,svamp,0.611000,611,1000
run_0,ASDiv,0.647059,1441,2227
run_1,2WikimhQA,0.062096,96,1546
run_1,hotpotQA,0.272467,2286,8390
run_1,gsm8k,0.406275,505,1243
run_1,svamp,0.608000,608,1000
run_1,ASDiv,0.654243,1457,2227
run_2,2WikimhQA,0.056347,87,1544
run_2,hotpotQA,0.268682,2258,8404
run_2,gsm8k,0.406174,499,1231
run_2,svamp,0.602204,601,998
run_2,ASDiv,0.635020,1418,2233
run_3,2WikimhQA,0.059642,30,503
run_3,hotpotQA,0.245018,1709,6975
run_3,gsm8k,0.426050,507,1190
run_3,svamp,0.605422,603,996
run_3,ASDiv,0.639077,1413,2211
run_4,2WikimhQA,0.069530,34,489
run_4,hotpotQA,0.242444,1139,4698
run_4,gsm8k,0.441960,514,1163
run_4,svamp,0.609879,605,992
run_4,ASDiv,0.654037,1450,2217
